lap_number,lap_time,tire_age,is_pit_stop
1,89.85000000000001,1,False
2,90.05,2,False
3,90.25,3,False
4,90.44999999999999,4,False
5,90.65,5,False
6,90.85000000000001,6,False
7,91.05,7,False
8,91.25,8,False
9,91.44999999999999,9,False
10,91.65,10,False
11,91.85000000000001,11,False
12,92.05,12,False
13,92.25,13,False
14,92.44999999999999,14,False
15,92.65,15,False
16,92.85000000000001,16,False
17,93.05,17,False
18,93.25,18,False
19,93.44999999999999,19,False
20,93.65,20,False
21,93.85000000000001,21,False
22,94.05,22,False
23,94.25,23,False
24,94.44999999999999,24,False
25,94.65,25,False
26,94.85000000000001,26,False
27,95.05,27,False
28,116.25,0,True
29,91.25,1,False
30,91.45,2,False
31,91.65,3,False
32,91.85,4,False
33,92.05,5,False
34,92.25,6,False
35,92.45,7,False
36,92.65,8,False
37,92.85,9,False
38,93.05,10,False
39,93.25,11,False
40,93.45,12,False
41,93.65,13,False
42,93.85,14,False
43,94.05,15,False
44,94.25,16,False
45,94.45,17,False
46,94.65,18,False
47,94.85,19,False
48,95.05,20,False
49,95.25,21,False
50,95.45,22,False
51,95.65,23,False
52,95.85,24,False
53,96.05,25,False
54,96.25,26,False
55,96.45,27,False
56,96.65,28,False
57,96.85,29,False
